Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,4.06,19.43,0.56,7.94,19.91,6.00,0.35,14.00,50.64,12.11,20.96,0.09,0.00,0.00,0.00,85.63
2,14.37,58.01,0.26,6.77,23.31,4.00,0.47,31.00,36.67,8.39,62.13,0.08,0.00,0.00,0.00,102.99
3,8.61,34.41,0.19,5.02,21.38,3.00,0.65,22.00,38.48,7.89,38.76,0.14,0.00,0.00,0.00,94.27
4,3.33,17.51,0.43,6.86,20.16,5.00,0.68,16.00,46.32,9.18,21.16,0.13,0.00,0.00,0.00,87.58
5,6.15,27.88,0.16,4.67,18.24,4.00,0.37,26.00,35.25,6.22,28.17,0.09,0.00,0.00,0.00,89.85
6,3.68,16.44,0.34,5.71,23.86,5.00,0.71,16.00,42.13,7.67,21.86,0.15,0.00,0.00,0.00,91.62
7,6.23,27.95,0.28,6.75,22.39,6.00,0.63,19.00,38.48,8.26,29.34,0.15,0.00,0.00,0.00,91.52
8,3.03,15.16,0.34,10.73,20.26,7.00,0.34,15.00,39.44,7.81,18.37,0.07,0.00,0.00,0.00,86.83
9,6.49,26.33,0.37,6.06,17.41,4.00,0.35,17.00,43.06,7.78,30.08,0.09,0.00,0.00,0.00,93.43
10,6.58,27.36,0.44,7.08,18.28,6.00,0.49,18.00,39.46,7.99,30.86,0.10,0.00,0.00,0.00,89.95
11,7.13,30.33,0.23,4.24,18.04,4.00,0.42,20.00,39.67,7.50,34.24,0.07,0.00,0.00,0.00,95.04
12,10.89,43.69,0.25,6.20,22.52,4.00,0.70,32.00,34.07,8.19,49.64,0.10,0.00,0.00,0.00,100.90
13,10.01,39.40,0.46,8.56,26.96,6.00,0.97,32.00,40.31,8.79,42.72,0.24,0.00,0.00,0.00,96.74
14,16.35,76.77,0.38,7.28,19.35,5.00,0.26,50.00,45.79,7.71,75.10,0.05,0.00,0.00,0.00,100.64
15,5.41,22.21,0.15,4.44,19.30,3.00,0.25,17.00,43.62,6.14,23.54,0.06,0.00,0.00,0.00,90.65
16,7.85,34.15,0.21,4.73,20.57,4.00,0.45,21.00,41.36,7.19,38.48,0.08,0.00,0.00,0.00,99.05
17,5.55,25.24,0.23,4.23,23.71,3.00,0.61,19.00,45.64,9.24,30.22,0.11,0.00,0.00,0.00,95.21
18,16.91,66.66,0.22,5.54,18.06,3.00,0.36,32.00,37.62,8.77,71.15,0.07,0.00,0.00,0.00,100.49
19,6.37,26.23,0.27,6.29,24.49,4.00,0.40,22.00,41.20,8.12,29.62,0.11,0.00,0.00,0.00,93.50
20,6.89,28.33,0.37,5.28,23.39,3.00,0.66,19.00,41.47,9.29,32.81,0.10,0.00,0.00,0.00,94.14
21,10.27,42.68,0.54,8.31,23.10,6.00,0.42,27.00,43.59,8.74,46.92,0.11,0.00,0.00,0.00,96.67
22,2.32,13.31,0.24,4.38,16.30,4.00,0.27,13.00,40.77,6.64,15.02,0.06,0.00,0.00,0.00,82.75
23,6.89,30.14,0.30,6.67,22.00,4.00,0.37,23.00,36.88,8.50,31.51,0.08,0.00,0.00,0.00,91.33
24,9.42,48.57,0.36,6.47,16.75,6.00,0.36,38.00,43.10,7.95,46.28,0.08,0.00,0.00,0.00,102.68
25,3.84,16.62,0.18,3.79,23.10,3.00,0.65,14.00,38.46,7.92,20.67,0.13,0.00,0.00,0.00,90.84
26,3.32,16.44,0.25,5.34,15.68,4.00,0.33,16.00,39.21,7.73,16.52,0.06,0.00,0.00,0.00,86.10
27,5.39,25.54,0.31,5.55,18.34,5.00,0.60,15.00,41.43,8.49,27.38,0.14,0.00,0.00,0.00,89.49
28,4.78,21.48,0.28,7.93,20.04,6.00,0.25,16.00,31.36,6.80,23.16,0.05,0.00,0.00,0.00,92.45
29,3.65,18.08,0.36,5.06,20.93,5.00,0.31,14.00,42.78,7.76,19.60,0.08,0.00,0.00,0.00,86.60
30,9.73,43.14,0.21,5.63,23.94,4.00,0.73,27.00,37.92,7.24,41.70,0.14,0.00,0.00,0.00,90.98
31,5.94,24.79,0.30,6.07,18.54,4.00,0.41,20.00,39.52,7.50,27.50,0.09,0.00,0.00,0.00,91.24
32,9.32,37.90,0.25,5.21,25.22,3.00,0.58,29.00,37.86,7.69,42.36,0.12,0.00,0.00,0.00,96.28
33,4.60,22.68,0.30,5.51,23.67,4.00,0.31,23.00,40.29,7.82,27.13,0.08,0.00,0.00,0.00,93.33
34,3.41,16.48,0.19,4.75,21.32,4.00,0.72,16.00,34.62,8.27,20.81,0.12,0.00,0.00,0.00,80.27
35,22.35,99.24,0.23,5.25,19.41,4.00,0.36,40.00,37.27,7.61,101.36,0.05,0.00,0.00,0.00,101.93
36,6.26,26.59,0.17,5.11,24.55,3.00,0.57,22.00,35.75,7.81,30.79,0.11,0.00,0.00,0.00,94.48
37,16.00,66.84,0.28,6.87,19.48,4.00,0.34,47.00,38.83,8.95,65.65,0.06,0.00,0.00,0.00,101.65
38,7.77,34.92,0.28,5.60,23.05,5.00,0.70,21.00,38.04,8.58,40.44,0.13,0.00,0.00,0.00,91.06
39,6.97,28.60,0.21,4.64,18.88,5.00,0.41,19.00,39.38,6.27,31.85,0.08,0.00,0.00,0.00,97.67
40,4.41,20.86,0.59,8.50,17.44,5.00,0.10,19.00,53.96,10.49,22.12,0.03,0.00,0.00,0.00,87.25
41,14.89,60.36,0.47,6.96,22.14,4.00,0.69,29.00,49.01,10.81,65.98,0.12,0.00,0.00,0.00,100.87
42,4.16,18.79,0.36,6.93,22.76,5.00,0.47,17.00,46.86,8.49,21.44,0.08,0.00,0.00,0.00,92.90
43,4.72,19.22,0.32,6.03,20.51,5.00,0.46,17.00,40.33,7.28,22.98,0.09,0.00,0.00,0.00,92.36
44,11.75,48.27,0.26,4.61,22.73,5.00,0.47,27.00,36.75,7.53,52.55,0.11,0.00,0.00,0.00,103.36
45,3.79,16.87,0.34,6.66,21.15,5.00,0.45,17.00,42.42,9.82,20.16,0.08,0.00,0.00,0.00,92.66
46,14.74,60.00,0.22,4.86,21.00,4.00,0.39,43.00,37.74,7.36,59.87,0.08,0.00,0.00,0.00,97.11
47,6.83,28.21,0.29,5.63,22.20,3.00,0.71,21.00,40.19,9.47,33.50,0.12,0.00,0.00,0.00,96.95
48,7.34,30.41,0.46,6.49,19.73,6.00,0.38,21.00,41.96,9.08,34.82,0.10,0.00,0.00,0.00,98.11
49,5.33,21.68,0.26,7.16,20.98,4.00,0.48,18.00,38.26,8.03,24.87,0.10,0.00,0.00,0.00,92.35
50,4.00,19.70,0.23,4.55,21.78,5.00,0.43,16.00,39.83,7.67,20.93,0.09,0.00,0.00,0.00,88.42
51,8.40,37.40,0.25,5.36,22.50,3.00,0.56,27.00,35.90,7.90,38.58,0.10,0.00,0.00,0.00,94.07
52,15.21,61.08,0.27,5.26,21.96,6.00,0.45,35.00,38.44,8.43,67.29,0.09,0.00,0.00,0.00,96.21
53,2.62,12.84,0.24,5.65,20.73,4.00,0.50,11.00,39.86,8.58,13.16,0.12,0.00,0.00,0.00,79.84
54,4.15,20.33,0.28,4.97,21.54,5.00,0.35,17.00,39.16,8.82,23.29,0.07,0.00,0.00,0.00,88.45
55,3.39,16.00,0.40,6.75,21.82,5.00,0.67,14.00,42.15,8.51,18.38,0.14,0.00,0.00,0.00,81.54
56,19.13,80.41,0.31,7.22,23.98,5.00,0.34,47.00,41.01,8.54,82.76,0.07,0.00,0.00,0.00,104.87
57,2.48,12.18,0.21,6.13,20.95,4.00,0.58,11.00,33.17,7.64,15.98,0.13,0.00,0.00,0.00,82.01
58,11.92,50.79,0.77,9.92,22.85,7.00,1.15,25.00,49.97,12.11,56.34,0.20,0.00,0.00,0.00,99.43
59,4.91,23.61,0.10,3.18,20.22,2.00,0.47,19.00,31.58,5.86,26.21,0.08,0.00,0.00,0.00,92.64
60,7.43,30.86,0.50,6.98,19.21,5.00,0.33,23.00,45.62,9.18,30.41,0.09,0.00,0.00,0.00,95.91
61,7.76,32.67,0.40,9.02,20.18,5.00,0.36,22.00,42.74,9.48,38.49,0.08,0.00,0.00,0.00,100.05
62,2.23,11.67,0.44,6.19,18.85,5.00,0.21,10.00,44.49,7.66,13.59,0.04,0.00,0.00,0.00,77.25
63,6.34,27.67,0.46,8.32,21.17,4.00,0.47,23.00,39.98,10.18,31.70,0.08,0.00,0.00,0.00,94.39
64,7.50,33.13,0.57,7.74,21.59,6.00,0.60,25.00,47.01,11.01,39.50,0.09,0.00,0.00,0.00,93.15
65,9.57,46.02,0.36,7.05,19.54,7.00,0.36,34.00,43.60,8.21,45.61,0.08,0.00,0.00,0.00,96.58
66,17.31,72.97,0.39,7.76,22.70,7.00,0.54,32.00,41.03,7.93,75.05,0.11,0.00,0.00,0.00,98.90
67,5.29,23.10,0.40,6.32,23.57,4.00,0.54,23.00,45.53,8.73,26.15,0.11,0.00,0.00,0.00,88.85
68,7.12,29.46,0.17,5.23,21.93,3.00,0.26,27.00,37.37,6.63,31.98,0.06,0.00,0.00,0.00,93.77
69,2.55,13.54,0.32,7.48,14.93,5.00,0.23,10.00,38.23,8.42,17.86,0.05,0.00,0.00,0.00,85.80
70,2.74,13.48,0.28,6.48,19.99,5.00,0.19,14.00,36.45,6.01,16.15,0.05,0.00,0.00,0.00,82.52
71,5.51,23.66,0.39,8.23,19.71,5.00,0.32,15.00,37.40,7.34,25.36,0.07,0.00,0.00,0.00,96.20
72,31.91,132.66,0.22,4.15,23.71,4.00,0.61,57.00,42.52,7.47,137.58,0.13,0.00,0.00,0.00,115.70
73,3.93,19.66,0.56,8.45,18.81,6.00,0.32,18.00,41.48,10.36,20.36,0.06,0.00,0.00,0.00,87.00
74,7.75,34.55,0.33,6.07,17.88,4.00,0.26,23.00,34.92,8.65,36.16,0.06,0.00,0.00,0.00,93.13
75,4.59,22.31,0.45,7.19,16.58,5.00,0.40,18.00,40.19,7.73,24.25,0.08,0.00,0.00,0.00,78.77
