Simulation #,Avg Queue Length A,Avg Fuel Wait A,Avg Queue Length B,Avg Fuel Wait B,Clerk Utilization,Pump B Max Queue,Avg Invoice Wait,Pump A Max Queue,Pump B Utilization,Avg Stay Time B,Avg Stay Time A,Avg Invoice Queue Length,Final Queue B,Final Queue A,Final Invoice Queue,Pump A Utilization
1,3.57,15.49,0.22,5.34,22.51,3.00,0.35,13.00,41.70,6.96,20.52,0.07,0.00,0.00,0.00,84.61
2,4.26,18.35,0.34,6.59,25.48,5.00,0.79,19.00,40.97,8.40,23.16,0.18,0.00,0.00,0.00,89.14
3,6.28,27.90,0.28,5.62,20.45,4.00,0.48,25.00,40.33,8.05,31.27,0.10,0.00,0.00,0.00,91.05
4,7.53,34.24,0.38,5.82,20.85,6.00,0.53,28.00,42.32,7.99,33.76,0.12,0.00,0.00,0.00,94.03
5,7.00,31.70,0.65,10.10,20.32,10.00,0.65,18.00,45.66,10.35,37.53,0.15,0.00,0.00,0.00,94.77
6,3.83,18.39,0.16,4.11,19.78,4.00,0.41,13.00,35.41,6.52,21.98,0.08,0.00,0.00,0.00,83.84
7,5.62,26.72,0.22,4.95,18.26,4.00,0.24,19.00,38.64,6.97,26.35,0.05,0.00,0.00,0.00,83.04
8,5.72,24.63,0.43,7.22,24.26,5.00,0.71,28.00,42.93,8.83,26.63,0.16,0.00,0.00,0.00,93.06
9,4.79,21.30,0.35,6.24,17.99,3.00,0.26,16.00,41.03,7.47,24.10,0.05,0.00,0.00,0.00,93.27
10,4.65,21.83,0.39,6.08,18.69,5.00,0.38,18.00,45.04,9.14,21.98,0.09,0.00,0.00,0.00,92.32
11,10.25,43.75,0.39,6.64,17.67,6.00,0.21,33.00,43.26,9.02,46.26,0.04,0.00,0.00,0.00,96.97
12,4.13,20.13,0.39,7.76,18.20,5.00,0.29,19.00,43.28,9.36,21.12,0.05,0.00,0.00,0.00,83.15
13,3.43,16.65,0.44,8.10,24.14,4.00,0.41,17.00,39.73,9.57,18.32,0.10,0.00,0.00,0.00,87.19
14,3.53,15.43,0.15,3.93,20.79,3.00,0.48,15.00,39.02,6.76,19.02,0.12,0.00,0.00,0.00,84.96
15,4.91,21.88,0.32,6.87,17.01,6.00,0.30,24.00,37.92,9.28,22.41,0.06,0.00,0.00,0.00,88.79
16,7.06,29.00,0.26,5.53,23.80,4.00,0.58,26.00,41.01,9.55,31.49,0.11,0.00,0.00,0.00,96.17
17,7.81,34.10,0.24,5.58,18.44,6.00,0.22,26.00,35.54,6.82,37.27,0.06,0.00,0.00,0.00,87.89
18,2.52,12.33,0.25,5.15,21.56,4.00,0.70,10.00,38.53,7.15,14.29,0.10,0.00,0.00,0.00,81.85
19,14.30,55.87,0.28,5.31,21.51,4.00,0.57,33.00,40.73,7.98,60.16,0.12,0.00,0.00,0.00,106.32
20,4.59,22.07,0.17,3.87,17.56,2.00,0.63,23.00,35.43,7.35,24.96,0.13,0.00,0.00,0.00,80.15
21,4.19,17.93,0.30,6.48,16.42,6.00,0.34,13.00,38.46,8.20,20.41,0.06,0.00,0.00,0.00,90.81
